Date,CIPLA.NS,GOLDBEES.NS,INFY.NS,ITC.NS,MARICO.NS,MARUTI.NS,SUNPHARMA.NS,TATAMOTORS.NS,TCS.NS
2022-04-28,968.6005859375,44.33000183105469,1488.9774169921875,249.61703491210938,534.7048950195312,7763.49560546875,907.9337768554688,434.6951904296875,3428.02392578125
2022-04-29,968.6005859375,44.790000915527344,1474.8177490234375,248.13519287109375,514.1090087890625,7595.837890625,915.4752807617188,436.2403869628906,3392.062744140625
2022-05-02,964.0596313476562,44.15999984741211,1449.8385009765625,251.57688903808594,515.2916259765625,7514.1005859375,910.2997436523438,431.505126953125,3387.950439453125
2022-05-04,945.2542724609375,43.97999954223633,1444.7108154296875,248.32640075683594,511.99029541015625,7280.9931640625,888.1189575195312,422.1841735839844,3328.0322265625
2022-05-05,936.2218017578125,44.540000915527344,1491.376708984375,250.52525329589844,512.1874389648438,7290.58935546875,865.6917724609375,424.9754638671875,3360.215087890625
2022-05-06,922.7470092773438,44.54999923706055,1451.578857421875,254.92295837402344,496.3216552734375,7164.21826171875,870.7686157226562,407.2806091308594,3282.937744140625
2022-05-09,926.2514038085938,44.41999816894531,1477.4521484375,251.38568115234375,482.3282775878906,7243.9873046875,872.8388061523438,402.6949462890625,3294.89306640625
2022-05-10,914.2575073242188,44.2599983215332,1461.1285400390625,248.32640075683594,494.74493408203125,7397.12841796875,849.6229248046875,390.5328369140625,3288.81982421875
2022-05-11,925.5603637695312,44.060001373291016,1436.431396484375,244.40670776367188,494.4493103027344,7279.56640625,842.6729125976562,386.9440002441406,3263.23583984375
2022-05-12,908.9267578125,44.02000045776367,1419.5433349609375,241.7776641845703,492.87255859375,7139.02294921875,837.9410400390625,371.14324951171875,3260.031982421875
2022-05-13,922.5989379882812,43.41999816894531,1415.4034423828125,247.22698974609375,492.7740173339844,6989.72021484375,869.97998046875,403.0438232421875,3266.009521484375
2022-05-16,921.4143676757812,43.13999938964844,1401.0086669921875,242.92489624023438,488.3887939453125,7133.068359375,873.0360107421875,404.090576171875,3229.570556640625
2022-05-17,925.955322265625,43.540000915527344,1428.622314453125,253.0587158203125,495.7303771972656,7413.76123046875,879.0987548828125,422.8321533203125,3301.109130859375
2022-05-18,944.8099975585938,43.38999938964844,1419.9195556640625,255.0663299560547,516.129150390625,7446.97802734375,886.393798828125,413.860107421875,3298.431396484375
2022-05-19,925.955322265625,43.59000015258789,1342.7235107421875,263.5271301269531,503.0719909667969,7287.5380859375,872.0501098632812,397.411376953125,3119.72802734375
2022-05-20,965.8366088867188,43.91999816894531,1369.067138671875,267.6858215332031,520.859375,7466.71142578125,902.65966796875,416.7012634277344,3149.424560546875
2022-05-23,957.59375,44.25,1381.5333251953125,262.4277038574219,523.9142456054688,7772.6494140625,908.9688720703125,420.14056396484375,3176.921142578125
2022-05-24,957.9392700195312,44.06999969482422,1355.754150390625,258.9382629394531,521.0072021484375,7679.34716796875,896.9912109375,424.42718505859375,3144.642578125
2022-05-25,959.37060546875,44.119998931884766,1327.0113525390625,260.7069091796875,514.2075805664062,7664.1904296875,898.2728271484375,415.7043762207031,3049.94677734375
2022-05-26,952.1643676757812,43.869998931884766,1339.712646484375,260.9515075683594,522.4360961914062,7681.66015625,887.1824340820312,419.343017578125,3107.043212890625
2022-05-27,953.9412231445312,44.08000183105469,1374.9002685546875,263.3976135253906,518.4449462890625,7817.43017578125,891.076416015625,428.2652282714844,3140.116943359375
2022-05-30,974.1286010742188,43.97999954223633,1436.4786376953125,263.2508239746094,528.0531005859375,7887.2587890625,875.6976928710938,441.02545166015625,3249.8330078125
